datum	prob	*[+syllabic][+syllabic]	*[+word_boundary][-syllabic]	*[-syllabic][+word_boundary]	*[-word_boundary][+back]	*[-anterior][-high]	*[-high,-back][-word_boundary][+high]	*[+high][-word_boundary][-high]	*[-back,-tense][-word_boundary][-high,-tense]	*[-high][+anterior][+high]	*[+tense][-word_boundary][-high,+tense]	*[+tense][+dorsal][+tense]	*[+tense][-anterior][+tense]	*[-back,-tense][+dorsal][-tense]	*[-back,-tense][-anterior][-tense]	*[-syllabic][-syllabic]	*[+back][+word_boundary]	*[-high,-back][-anterior]
aSS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
aSs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
aIe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aIa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aIE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aIk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aIi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aIS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aII	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aIs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asa	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ask	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
asi	0.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
asS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
asI	0.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ass	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eee	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eea	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EeE	0.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eek	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eei	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EeS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EeI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ees	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eae	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eaa	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EaE	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Eak	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eai	0.0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
EaS	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EaI	0.0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Eas	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EEe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEa	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EEE	0.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EEk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEi	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EES	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EEI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EEs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eka	0.0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
EkE	0.0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Ekk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eki	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EkS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EkI	0.0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Eks	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eie	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eia	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EiE	0.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eik	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eii	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EiS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EiI	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eis	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESe	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ESa	0.0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1
ESE	0.0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1
ESk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ESi	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ESS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ESI	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
ESs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
EIe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIa	0.0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EIE	0.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIi	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EII	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esa	0.0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EsE	0.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Esk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Esi	0.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
EsS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EsI	0.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Ess	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kee	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kea	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
keE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kek	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kei	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
keS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
keI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kes	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kae	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kaa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kaE	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kak	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kai	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kaS	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kaI	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kas	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kEe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kEa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kEE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kEk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kEi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kES	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
kEI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kEs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kke	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kka	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
kkE	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kkk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kki	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kkS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kkI	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kks	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kie	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kia	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kiE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kik	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kii	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kiS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kiI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kis	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kSe	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
kSa	0.0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
kSE	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
kSk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kSi	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kSS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kSI	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kSs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kIe	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kIa	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
kIE	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kIk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kIi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kIS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kII	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kIs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kse	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ksa	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ksE	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ksk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ksi	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ksS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ksI	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
kss	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iee	0.0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
iea	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ieE	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
iek	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iei	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ieS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ieI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ies	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iae	0.0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
iaa	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
iaE	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
iak	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iai	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iaS	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iaI	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ias	0.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iEe	0.0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
iEa	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
iEE	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
iEk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iEi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iES	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
iEI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iEs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ike	0.0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
ika	0.0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ikE	0.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ikk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iki	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ikS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iks	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iie	0.0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
iia	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
iiE	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
iik	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iii	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iiS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iiI	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iis	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iSe	0.0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
iSa	0.0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
iSE	0.0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
iSk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iSi	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
iSS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iSs	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
iIe	0.0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
iIa	0.0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
iIE	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
iIk	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iIi	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iIS	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iII	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iIs	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ise	0.0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
isa	0.0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
isE	0.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
isk	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
